t,Position,Theta,Velocity,Theta_dot,u
0.0,0.0,3.141592653589793,0.0,0.0,0.8980980968135133
0.1,0.0004896649596369584,3.142355123974358,0.009793298292100449,0.0152494077253126,1.1112087627417346
0.2,0.0017406019392048767,3.144419461859018,0.015225441299257883,0.026037349967879896,-0.016433486596925884
0.30000000000000004,0.00309302502961027,3.1470736357868807,0.011823020508849955,0.027046128589377036,-0.7418827832236262
0.4,0.0038288989777238436,3.1496050234652375,0.002894458453421439,0.0235816249777562,-1.1977295735281952
0.5,0.0035044866082561293,3.151709377795235,-0.009382705842775728,0.018505461622190713,-1.4739075795762786
0.6000000000000001,0.0018563489883896482,3.1532979761192617,-0.023580046554553886,0.013266504858342142,-1.6301627551386686
0.7000000000000001,-0.0012605088396836816,3.1543877424717164,-0.03875711000691232,0.00852882219075312,-1.705734216468739
0.8,-0.005913047380817745,3.1550409027900645,-0.05429366081576932,0.004534384176206157,-1.727359578534122
0.9,-0.012116989137624275,3.1553327620981415,-0.06978517432036145,0.0013028019853370582,-1.7134357779474039
1.0,-0.019854659484664437,3.1553354279300496,-0.08496823262044174,-0.0012494853471709457,-1.6755566520404839
1.1,-0.029086446707295543,3.155110982634697,-0.09966751183217953,-0.0032394205598901492,-1.6211867168887624
1.2000000000000002,-0.039758298488405314,3.154709296374018,-0.11376952379001466,-0.004794304653672454,-1.5563886020403435
1.3,-0.05180674396814163,3.1541678273683758,-0.12719938580471063,-0.006035075459183664,-1.4836836730853995
1.4000000000000001,-0.06516195688578291,3.153512575893647,-0.1399048725481111,-0.007069954035391924,-1.4056822752759301
1.5,-0.07974987995218227,3.1527587493147924,-0.15185358877986915,-0.008006577541703256,-1.3241573747967887
1.6,-0.09549360413019388,3.151910938231885,-0.16302089478036874,-0.008949644116443715,-1.239072919871877
1.7000000000000002,-0.11231418190166902,3.1509625518837137,-0.17339066064914113,-0.010018082846986095,-1.1521853376524365
1.8,-0.13013126455848215,3.1498938193565764,-0.18295099248708876,-0.011356567695756135,-1.0623869547505147
1.9000000000000001,-0.14886324188853667,3.148668552138284,-0.1916885541140103,-0.013148776670092305,-0.970028601866152
2.0,-0.16842712621290823,3.1472287968245434,-0.19958913237338086,-0.01564632960471758,-0.8738091043550451
2.1,-0.18873822791484507,3.145486487855202,-0.20663290166536805,-0.0191998497821099,-0.7726844481549661
2.2,-0.20970954461530003,3.1433109465648155,-0.21279343234374345,-0.02431097602562016,-0.6645577494530157
2.3000000000000003,-0.23125067378786315,3.140510613529957,-0.2180291511075292,-0.03169568467153932,-0.5457869124900124
2.4000000000000004,-0.2532658008723289,3.1368069222597876,-0.22227339058179277,-0.04237814073186093,-0.4110241453814053
2.5,-0.27565101842136386,3.131795928340245,-0.22543096039889687,-0.05784173765898385,-0.2541964711091684
2.6,-0.29829046041415674,3.1248926445432876,-0.2273578794569579,-0.08022393828016433,-0.06331427179159357
2.7,-0.32104942639483347,3.1152524462905986,-0.22782144015656883,-0.11258002677362543,0.17943100986374397
2.8000000000000003,-0.3437639617660014,3.1016584475636426,-0.22646926726682917,-0.15929994776550016,0.49732748174430363
2.9000000000000004,-0.3662255822480557,3.0823599064696037,-0.22276314237429423,-0.2266708741152824,0.9285033360059032
3.0,-0.3881572255335267,3.054843720074165,-0.2158697233351155,-0.32365285379348985,1.5272494632304612
3.1,-0.40917611061048137,3.015512704251639,-0.20450797820396557,-0.46296746265702476,2.3720547468996873
3.2,-0.42873766724857854,2.9592360199383907,-0.18672315455796396,-0.66256622360793,3.567184971676484
3.3000000000000003,-0.44605179163447584,2.8787321812440676,-0.15955933316004306,-0.9475105502785446,5.236895895390032
3.4000000000000004,-0.459962036054507,2.7637491312010822,-0.11864555524056082,-1.3521504505811954,7.466954481647186
3.5,-0.4687889865580481,2.600040655057765,-0.057893454830299465,-1.9220190722848844,10.109641625627033
3.6,-0.4701862704605304,2.3682818061164386,0.029947776780646175,-2.7131579065416784,12.252034157871782
3.7,-0.4612120095236938,2.043615687579791,0.14953744195611735,-3.7801644641908188,11.182905333347946
3.8000000000000003,-0.43929357192739477,1.5985507117653028,0.2888313099698903,-5.12113505209843,1.728062852065051
3.9000000000000004,-0.4059929982589307,1.0178437316877835,0.37718016339927235,-6.493004549451259,-19.53626204512096
4.0,-0.3744608756518423,0.3344651197287577,0.25346228874239496,-7.174567689728002,-40.89726206649438
4.1000000000000005,-0.36817218951644054,-0.3553951846456218,-0.1276885660343651,-6.62263839776081,-38.891673658665475
4.2,-0.40116226775695646,-0.9508720544211346,-0.5321129987759737,-5.286898997752897,-19.316043092299775
4.3,-0.46531120892520844,-1.4055192694285705,-0.7508658245892018,-3.8060453023955882,-3.182993515840792
4.4,-0.5427499072240677,-1.712669777288166,-0.797908141387946,-2.3369648547988207,3.3096980647061787
4.5,-0.6209993037443283,-1.8742489685072985,-0.7670797890172317,-0.8946189695850393,2.981333342191629
4.6000000000000005,-0.69595053292025,-1.8929123978038993,-0.7319447945011752,0.5213503836530551,0.1391127194208197
4.7,-0.7688851595897345,-1.769642186561791,-0.7267477388884998,1.9440538411889423,-1.2561271326200802
4.800000000000001,-0.8427156659797289,-1.50249728866807,-0.7498623889113916,3.398844116680922,3.0478002124550216
4.9,-0.9180013713586771,-1.0935134576946153,-0.7558517186676181,4.7808325027843965,16.494180625702253
5.0,-0.9878784538699831,-0.5698255168418146,-0.6416899315586427,5.692926314272013,34.94033493317614
5.1000000000000005,-1.036433511867334,-0.0027744421832299297,-0.32941122838858855,5.648095178904186,42.80431219739947
5.2,-1.0487893583739194,0.5151194333624814,0.08229429825694297,4.709782332019062,33.13323732383973
5.300000000000001,-1.0241223445274774,0.9197483202017762,0.41104597867194353,3.382795404764735,18.310527048229503
5.4,-0.9738115514595095,1.1873081193311825,0.5951698826872703,1.9684005778213873,8.27951170062056
5.5,-0.9101005632475544,1.3123447736587521,0.6790498815517286,0.5323325087280888,3.627011420900077
5.6000000000000005,-0.8402534619489789,1.2938708562888341,0.7178921444201042,-0.9018108561259277,0.6623630866536132
5.7,-0.7676822472094255,1.134624119559335,0.7335321503709314,-2.283123878465559,-5.033332590621164
5.800000000000001,-0.6958992617757562,0.8470056889708181,0.7021275583024962,-3.469244733306682,-15.944791400573198
5.9,-0.6324694783638981,0.4645532119784668,0.5664681099347891,-4.179804806540196,-28.723101707152214
6.0,-0.5890805367592223,0.0474081389755057,0.3013107221589057,-4.163096653523947,-34.232625603103436
6.1000000000000005,-0.5750581791966085,-0.3350662341218295,-0.020863570906553962,-3.48639080842075,-28.304151106089527
6.2,-0.5904512405617786,-0.6321303247279811,-0.28699765639688407,-2.4548910037000153,-16.851520094457275
6.300000000000001,-0.6270208963641315,-0.8199410647664278,-0.44439545965004823,-1.3013237970662628,-6.24091495273785
6.4,-0.6743618031219135,-0.8916209889802971,-0.5024226755057242,-0.13227468721162922,2.1919224864127247
6.5,-0.7235714649504932,-0.8496416997712712,-0.48177056106594895,0.9718604713928619,10.309687597992536
6.6000000000000005,-0.7668619338222116,-0.7063186803631503,-0.3840388163684142,1.8945999167681746,19.94029826420947
6.7,-0.7957491297917574,-0.4877168951765774,-0.1937051030225677,2.4774357869632575,30.13028948482256
6.800000000000001,-0.8008354561635319,-0.23422919292778654,0.0919785755871028,2.5923182580116046,36.748468953948255
6.9,-0.7745846357679811,0.008006638866464105,0.43303783232395227,2.252398377875861,36.24163682942152
7.0,-0.7149900207306187,0.20138758875389037,0.7588544684232612,1.61522061987069,29.2106086051237
7.1000000000000005,-0.626557021699009,0.3255922215871434,1.0098055122089014,0.8688720367926253,18.70223340190598
7.2,-0.518243100543454,0.3768171945732728,1.1564729109022718,0.15562742293034776,7.001344992384389
7.300000000000001,-0.4009245089892408,0.36344195757848335,1.1898989201821193,-0.4231321628260471,-4.84948894416588
7.4,-0.2858597501443424,0.3026891723922275,1.1113962567160176,-0.7919235408990056,-15.844350099666507
7.5,-0.18356357612394775,0.2174388101297234,0.934527223692065,-0.9130837043511333,-24.2800202025846
7.6000000000000005,-0.10228970355598846,0.13136249285357085,0.6909502276673065,-0.8084426411720554,-28.311773261349494
7.7,-0.04632658313154299,0.06297569771286457,0.4283121808213341,-0.5592932616422452,-26.988222586113274
7.800000000000001,-0.014946660411973017,0.021109318186221818,0.19928627356987313,-0.278034328890364,-20.588667670906553
7.9,-0.002491173368576613,0.003603800877532851,0.04982346729808403,-0.07207601728338339,-10.253041957485154
8.0,0.0,0.0,0.0,0.0,
